                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.033,                 1.1584,                0.55905,                 0.9636,                0.90157,                0.94958,                0.92916,                0.70514,                0.90242,                0.95048,                0.93005,                0.67678,                 1.0967,                 1.2325,                0.60454,                 1.0164,               0.007756,               0.007756,               0.007756
                     36,                 1.0252,                 1.1562,                0.55714,                0.96482,                0.90502,                0.93983,                0.93141,                0.70987,                0.90523,                0.94006,                0.93147,                0.68011,                 1.0928,                 1.2537,                0.61315,                 1.0088,                0.00769,                0.00769,                0.00769
                     37,                 1.0186,                  1.145,                0.55587,                0.95953,                0.90686,                0.94004,                0.93228,                0.70897,                0.90729,                0.94049,                0.93256,                0.67671,                 1.1034,                 1.2575,                0.61661,                  1.011,               0.007624,               0.007624,               0.007624
                     38,                 1.0176,                 1.1496,                0.55226,                0.95856,                0.89913,                0.94203,                0.92615,                0.70033,                0.89956,                0.94248,                0.92633,                0.67037,                 1.1111,                  1.249,                0.62052,                 1.0135,               0.007558,               0.007558,               0.007558
                     39,                 1.0086,                 1.1423,                0.54799,                0.95743,                0.89829,                0.94262,                0.92783,                0.70795,                0.89829,                0.94262,                0.92783,                0.67465,                 1.0959,                 1.2475,                0.62232,                 1.0044,               0.007492,               0.007492,               0.007492
                     40,                 1.0002,                 1.1306,                0.53816,                0.95472,                0.90439,                0.93737,                0.92986,                0.70975,                 0.9046,                0.93759,                0.93007,                0.67618,                 1.0956,                 1.2366,                0.61618,                 1.0127,               0.007426,               0.007426,               0.007426
                     41,                0.99537,                 1.1191,                0.53465,                0.95135,                0.91082,                0.93551,                0.93498,                0.71019,                0.91082,                0.93551,                0.93499,                0.67818,                 1.0988,                 1.2772,                0.61759,                 1.0125,                0.00736,                0.00736,                0.00736
                     42,                0.98822,                 1.1149,                 0.5443,                 0.9509,                 0.8981,                0.94554,                0.92888,                0.70466,                0.89525,                0.95074,                0.92894,                0.67502,                 1.1137,                 1.2814,                0.62699,                 1.0131,               0.007294,               0.007294,               0.007294
                     43,                0.97878,                 1.1048,                0.52752,                0.94713,                0.90515,                0.92874,                0.92836,                0.70655,                0.90559,                0.92919,                0.92864,                0.67597,                 1.1022,                 1.2621,                0.62489,                 1.0071,               0.007228,               0.007228,               0.007228
                     44,                0.97214,                 1.1004,                0.52609,                0.94862,                 0.9054,                0.93943,                0.92872,                0.70602,                0.90628,                0.94032,                0.92953,                0.67604,                 1.1119,                 1.2752,                0.61546,                 1.0165,               0.007162,               0.007162,               0.007162
                     45,                0.96752,                 1.0988,                0.52027,                0.94497,                0.90059,                0.93396,                0.92361,                0.69743,                0.90069,                0.93408,                0.92341,                0.66628,                 1.1205,                 1.2935,                0.62808,                 1.0211,               0.007096,               0.007096,               0.007096
                     46,                0.96225,                 1.0878,                0.51938,                0.94393,                0.90973,                0.93324,                0.93382,                0.70708,                0.91017,                0.93369,                0.93427,                0.67854,                 1.1208,                 1.2944,                0.61681,                  1.019,                0.00703,                0.00703,                0.00703
                     47,                 0.9539,                 1.0819,                0.51114,                0.94122,                0.90546,                0.93176,                0.91994,                 0.6942,                0.90555,                0.93188,                0.92008,                0.66773,                 1.1309,                 1.2994,                0.63028,                 1.0291,               0.006964,               0.006964,               0.006964
                     48,                0.94174,                 1.0681,                0.50961,                0.93477,                0.90081,                0.93458,                0.92534,                0.69749,                0.90082,                0.93446,                0.92557,                 0.6724,                  1.132,                 1.3232,                 0.6415,                 1.0316,               0.006898,               0.006898,               0.006898
                     49,                0.93717,                 1.0688,                0.50197,                0.93425,                0.90186,                0.93489,                0.92667,                0.69951,                 0.9029,                0.93404,                0.92676,                  0.671,                 1.1209,                 1.3004,                0.62629,                  1.017,               0.006832,               0.006832,               0.006832
                     50,                0.93658,                 1.0627,                0.49974,                0.93247,                0.90146,                0.93673,                 0.9251,                0.69872,                0.90287,                0.93819,                0.92598,                0.67173,                  1.131,                 1.3196,                0.62694,                 1.0196,               0.006766,               0.006766,               0.006766
                     51,                 0.9296,                 1.0596,                0.49865,                0.92973,                0.90857,                0.92495,                0.91725,                0.69227,                0.90975,                0.92619,                0.91808,                0.66737,                 1.1308,                 1.3193,                 0.6416,                 1.0269,                 0.0067,                 0.0067,                 0.0067
                     52,                0.92161,                 1.0502,                0.49287,                 0.9288,                0.91386,                0.93575,                0.93101,                0.70331,                0.91507,                0.93525,                  0.931,                0.67649,                 1.1343,                 1.3315,                0.61777,                 1.0275,               0.006634,               0.006634,               0.006634
                     53,                0.90984,                 1.0339,                 0.4872,                0.92488,                0.89253,                 0.9407,                 0.9149,                0.69274,                0.89236,                0.94215,                0.91513,                0.65867,                 1.1327,                 1.3591,                0.64649,                 1.0236,               0.006568,               0.006568,               0.006568
