                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  0.994,                0.49218,                 1.6587,                0.90946,                0.92202,                0.91864,                0.70075,                 2.0248,                 1.2666,                  2.133,               0.005248,               0.005248,               0.005248
                     74,                0.97888,                0.48194,                 1.6597,                0.90666,                0.92264,                0.91535,                0.70234,                 2.0133,                  1.279,                 2.1211,               0.005182,               0.005182,               0.005182
                     75,                0.97837,                 0.4865,                 1.6582,                0.91146,                0.91902,                0.91776,                0.70257,                 2.0236,                  1.315,                 2.1294,               0.005116,               0.005116,               0.005116
                     76,                0.96378,                0.47857,                 1.6524,                0.91553,                0.91821,                 0.9163,                0.70283,                 2.0248,                 1.2883,                 2.1288,                0.00505,                0.00505,                0.00505
                     77,                0.96316,                0.48196,                  1.653,                0.91268,                0.91902,                0.91405,                0.70217,                 2.0164,                  1.314,                 2.1231,               0.004984,               0.004984,               0.004984
                     78,                0.96428,                  0.483,                 1.6559,                0.91613,                0.91903,                0.91587,                 0.6997,                 2.0284,                 1.2966,                 2.1446,               0.004918,               0.004918,               0.004918
                     79,                0.95477,                0.47878,                 1.6531,                0.90934,                0.92322,                0.91532,                  0.702,                 2.0178,                 1.3111,                 2.1489,               0.004852,               0.004852,               0.004852
                     80,                0.93257,                0.46455,                 1.6525,                0.90885,                0.91462,                 0.9131,                0.70342,                 2.0018,                 1.3453,                 2.1293,               0.004786,               0.004786,               0.004786
                     81,                0.92772,                0.46538,                 1.6487,                0.91093,                0.91875,                0.91532,                0.70293,                 2.0024,                 1.2932,                 2.1154,                0.00472,                0.00472,                0.00472
                     82,                 0.9252,                0.46667,                 1.6471,                0.91291,                0.91961,                 0.9148,                0.70375,                 1.9956,                 1.3308,                 2.1319,               0.004654,               0.004654,               0.004654
                     83,                0.91538,                0.46326,                 1.6433,                0.91191,                0.91999,                0.91299,                0.70276,                 1.9976,                 1.3332,                  2.123,               0.004588,               0.004588,               0.004588
                     84,                0.90768,                 0.4551,                 1.6406,                0.91066,                0.91627,                0.91252,                 0.7022,                 2.0032,                 1.3522,                 2.1401,               0.004522,               0.004522,               0.004522
                     85,                0.90791,                0.46104,                 1.6437,                0.91055,                 0.9183,                0.91182,                0.70188,                 2.0062,                 1.3429,                 2.1373,               0.004456,               0.004456,               0.004456
                     86,                0.89695,                0.45391,                 1.6427,                0.91212,                0.91851,                0.91472,                 0.7034,                  2.008,                 1.3691,                  2.139,                0.00439,                0.00439,                0.00439
                     87,                0.89439,                0.45257,                 1.6417,                0.91289,                0.91717,                0.91147,                 0.7008,                 1.9976,                 1.3662,                  2.135,               0.004324,               0.004324,               0.004324
                     88,                0.88396,                0.44948,                 1.6386,                 0.9113,                0.92201,                0.91777,                0.70184,                 2.0116,                 1.3243,                  2.145,               0.004258,               0.004258,               0.004258
                     89,                0.88187,                0.44452,                 1.6362,                0.91531,                0.91736,                0.91171,                0.70139,                 2.0078,                 1.3744,                 2.1382,               0.004192,               0.004192,               0.004192
                     90,                0.87088,                0.43976,                 1.6368,                0.90955,                0.91454,                0.91421,                0.69957,                 2.0107,                 1.3777,                 2.1467,               0.004126,               0.004126,               0.004126
                     91,                0.86905,                0.43704,                 1.6341,                0.91424,                0.92218,                 0.9176,                 0.7028,                 2.0136,                 1.3426,                 2.1465,                0.00406,                0.00406,                0.00406
                     92,                0.85605,                0.43564,                 1.6311,                0.91438,                0.92424,                0.91785,                0.70367,                 2.0068,                 1.3212,                 2.1532,               0.003994,               0.003994,               0.003994
                     93,                 0.8454,                0.42821,                 1.6321,                0.91688,                0.91968,                0.91688,                0.70384,                 2.0108,                 1.3324,                 2.1427,               0.003928,               0.003928,               0.003928
                     94,                0.84189,                0.42601,                 1.6315,                0.91177,                 0.9163,                0.91423,                0.69978,                 2.0206,                 1.3792,                 2.1625,               0.003862,               0.003862,               0.003862
                     95,                0.83616,                 0.4261,                 1.6294,                0.91828,                0.92768,                0.91911,                0.70531,                 1.9983,                 1.2955,                 2.1381,               0.003796,               0.003796,               0.003796
                     96,                 0.8313,                0.42176,                  1.629,                 0.9158,                0.92615,                0.91826,                0.70362,                 2.0008,                 1.3326,                 2.1448,                0.00373,                0.00373,                0.00373
                     97,                0.82084,                0.41687,                 1.6224,                0.91664,                0.91831,                0.91936,                0.70466,                 2.0161,                 1.3617,                 2.1499,               0.003664,               0.003664,               0.003664
                     98,                0.81447,                0.41667,                  1.624,                0.91538,                0.92306,                0.91855,                0.70235,                 2.0219,                 1.3371,                 2.1619,               0.003598,               0.003598,               0.003598
                     99,                0.82197,                0.41868,                 1.6279,                0.91518,                0.92044,                0.91679,                0.70389,                 2.0099,                 1.3405,                 2.1538,               0.003532,               0.003532,               0.003532
                    100,                0.80381,                0.41349,                 1.6227,                0.91586,                0.91781,                0.91577,                0.70287,                 1.9986,                 1.3412,                 2.1503,               0.003466,               0.003466,               0.003466
                    101,                0.79352,                0.41051,                 1.6227,                0.91368,                0.92205,                0.91301,                0.69852,                 2.0132,                 1.3543,                 2.1627,                 0.0034,                 0.0034,                 0.0034
                    102,                0.80157,                0.40898,                 1.6229,                0.91743,                0.91981,                0.91496,                0.70393,                 1.9973,                 1.3438,                 2.1561,               0.003334,               0.003334,               0.003334
                    103,                0.80752,                 0.4148,                 1.6247,                0.90644,                0.92463,                0.91087,                0.69988,                 2.0064,                 1.3754,                 2.1641,               0.003268,               0.003268,               0.003268
                    104,                0.79323,                0.40627,                 1.6208,                0.91451,                0.91571,                0.90898,                0.69755,                 2.0114,                 1.4138,                 2.1652,               0.003202,               0.003202,               0.003202
                    105,                0.78224,                0.40225,                 1.6219,                0.91374,                0.92028,                0.91291,                0.70098,                 2.0025,                  1.378,                 2.1541,               0.003136,               0.003136,               0.003136
                    106,                0.78187,                0.40397,                 1.6192,                0.91594,                0.92118,                0.91499,                0.70372,                 2.0057,                 1.3909,                  2.157,                0.00307,                0.00307,                0.00307
                    107,                0.77704,                0.39958,                 1.6198,                 0.9153,                0.92069,                0.91428,                0.70211,                  2.011,                 1.3597,                 2.1643,               0.003004,               0.003004,               0.003004
                    108,                0.76826,                0.39381,                 1.6143,                0.91934,                0.91866,                 0.9141,                0.70332,                 2.0063,                 1.3612,                 2.1616,               0.002938,               0.002938,               0.002938
                    109,                0.75789,                0.39269,                 1.6159,                0.91808,                0.92106,                0.91909,                0.70745,                  2.008,                 1.3509,                 2.1648,               0.002872,               0.002872,               0.002872
                    110,                0.76227,                0.39323,                 1.6164,                0.91571,                0.92268,                0.91598,                0.70446,                 2.0019,                 1.3644,                 2.1601,               0.002806,               0.002806,               0.002806
                    111,                0.76369,                0.39359,                 1.6173,                0.91498,                0.92309,                0.91407,                0.70394,                 1.9985,                 1.3771,                 2.1568,                0.00274,                0.00274,                0.00274
                    112,                 0.7485,                0.38978,                 1.6134,                0.91451,                0.92596,                0.91617,                0.70596,                 1.9977,                 1.3521,                 2.1546,               0.002674,               0.002674,               0.002674
                    113,                0.74611,                0.38551,                 1.6126,                0.91222,                0.92834,                0.91843,                0.70881,                 1.9933,                 1.3517,                 2.1529,               0.002608,               0.002608,               0.002608
                    114,                0.73877,                0.38356,                 1.6133,                0.91614,                0.92178,                0.91548,                0.70394,                 2.0004,                 1.3688,                 2.1637,               0.002542,               0.002542,               0.002542
                    115,                0.74322,                0.38474,                  1.611,                 0.9185,                 0.9191,                0.91568,                0.70498,                 2.0005,                 1.3622,                 2.1615,               0.002476,               0.002476,               0.002476
                    116,                0.72609,                0.37482,                 1.6053,                0.92004,                0.92424,                0.91738,                0.70602,                 1.9965,                 1.3642,                 2.1615,                0.00241,                0.00241,                0.00241
                    117,                0.72209,                0.37726,                 1.6096,                0.91812,                0.91868,                0.91636,                0.70551,                 2.0003,                  1.385,                 2.1624,               0.002344,               0.002344,               0.002344
                    118,                 0.7282,                0.37897,                 1.6112,                0.91831,                0.91953,                0.91838,                0.70658,                  2.003,                 1.3837,                 2.1617,               0.002278,               0.002278,               0.002278
                    119,                 0.7051,                0.36422,                 1.6051,                 0.9176,                0.91924,                0.91718,                0.70543,                 2.0061,                 1.3979,                 2.1713,               0.002212,               0.002212,               0.002212
                    120,                0.70529,                0.36474,                 1.6035,                0.91281,                0.92131,                0.91754,                0.70632,                      2,                 1.4062,                 2.1704,               0.002146,               0.002146,               0.002146
