                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.8713,                0.91778,                 1.9236,                 0.9064,                0.91542,                0.92782,                0.70868,                 1.9343,                 1.0641,                 2.0216,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.8578,                0.90908,                 1.9214,                0.89596,                0.92402,                0.93172,                0.71844,                 1.9019,                 1.0412,                 1.9979,               0.006634,               0.006634,               0.006634
                     53,                  1.848,                0.89852,                 1.9167,                 0.8999,                0.91587,                0.92125,                0.70655,                 1.9188,                 1.0881,                 2.0065,               0.006568,               0.006568,               0.006568
                     54,                 1.8386,                0.89152,                 1.9196,                0.89381,                0.91933,                0.91946,                0.70518,                 1.9183,                 1.0927,                 2.0063,               0.006502,               0.006502,               0.006502
                     55,                  1.842,                0.89745,                 1.9173,                0.90065,                0.91435,                0.92496,                0.70981,                 1.9484,                 1.0857,                 2.0189,               0.006436,               0.006436,               0.006436
                     56,                 1.8315,                 0.8831,                 1.9144,                 0.8986,                0.90622,                 0.9242,                0.70818,                 1.9376,                 1.1105,                 2.0202,                0.00637,                0.00637,                0.00637
                     57,                 1.8272,                0.87629,                 1.9073,                0.89514,                0.91293,                0.92299,                0.70184,                 1.9701,                 1.0902,                 2.0399,               0.006304,               0.006304,               0.006304
                     58,                 1.8023,                0.85923,                 1.8975,                0.89954,                0.91117,                0.91672,                0.70214,                  1.946,                  1.158,                 2.0263,               0.006238,               0.006238,               0.006238
                     59,                  1.804,                0.86525,                 1.9054,                0.89812,                0.91995,                0.92124,                0.70542,                 1.9486,                 1.1244,                 2.0261,               0.006172,               0.006172,               0.006172
                     60,                 1.7985,                0.86696,                 1.8982,                0.90443,                 0.9138,                0.92192,                0.70403,                 1.9553,                 1.1305,                 2.0275,               0.006106,               0.006106,               0.006106
                     61,                 1.7881,                0.85986,                 1.8963,                 0.8984,                0.91701,                0.92043,                0.70182,                 1.9736,                 1.1297,                 2.0337,                0.00604,                0.00604,                0.00604
                     62,                 1.7787,                0.84566,                 1.8942,                0.89714,                0.90855,                0.92092,                0.70614,                  1.951,                  1.141,                 2.0258,               0.005974,               0.005974,               0.005974
                     63,                 1.7811,                0.84671,                 1.8983,                0.90725,                 0.9116,                0.91575,                 0.6999,                 1.9636,                 1.1496,                 2.0389,               0.005908,               0.005908,               0.005908
                     64,                 1.7638,                0.83666,                 1.8876,                0.89734,                0.91202,                0.91201,                 0.6992,                 1.9642,                 1.1906,                 2.0442,               0.005842,               0.005842,               0.005842
                     65,                 1.7505,                0.82368,                  1.882,                0.90387,                0.91549,                0.91766,                0.70182,                 1.9647,                 1.1472,                  2.032,               0.005776,               0.005776,               0.005776
                     66,                  1.742,                0.81936,                 1.8806,                0.89731,                0.91361,                0.91646,                0.69881,                 1.9708,                 1.1431,                 2.0413,                0.00571,                0.00571,                0.00571
                     67,                 1.7379,                0.82211,                 1.8787,                0.89908,                0.91995,                0.92255,                0.70471,                 1.9645,                 1.1236,                 2.0341,               0.005644,               0.005644,               0.005644
                     68,                  1.726,                0.81206,                 1.8748,                0.89812,                0.91372,                 0.9176,                0.70144,                 1.9812,                 1.1866,                 2.0427,               0.005578,               0.005578,               0.005578
                     69,                 1.7243,                0.80691,                 1.8784,                0.90619,                0.90791,                0.91891,                0.69942,                 1.9792,                  1.168,                 2.0428,               0.005512,               0.005512,               0.005512
