                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.94885,                0.46104,                 1.6528,                0.89866,                 0.9132,                0.91588,                0.69971,                 2.0458,                 1.3382,                 2.1641,                0.00472,                0.00472,                0.00472
                     82,                0.95391,                0.46739,                  1.652,                0.90238,                0.91308,                0.91954,                0.69733,                 2.0584,                 1.3101,                 2.1799,               0.004654,               0.004654,               0.004654
                     83,                 0.9437,                0.46128,                 1.6483,                0.90584,                0.90631,                0.91135,                0.69557,                 2.0547,                  1.367,                 2.1667,               0.004588,               0.004588,               0.004588
                     84,                0.92744,                0.45047,                 1.6443,                0.90476,                 0.9115,                0.91492,                 0.6965,                 2.0604,                 1.3566,                 2.1865,               0.004522,               0.004522,               0.004522
                     85,                0.93547,                0.45717,                 1.6481,                0.90038,                0.91074,                0.92039,                0.70385,                 2.0444,                  1.339,                 2.1724,               0.004456,               0.004456,               0.004456
                     86,                 0.9238,                0.45087,                 1.6464,                 0.9009,                 0.9176,                0.91267,                0.69663,                 2.0495,                 1.3751,                 2.1824,                0.00439,                0.00439,                0.00439
                     87,                0.92144,                0.44669,                 1.6463,                0.90021,                0.91005,                 0.9149,                0.70173,                 2.0414,                 1.3963,                  2.172,               0.004324,               0.004324,               0.004324
                     88,                0.90838,                0.44664,                 1.6426,                0.90091,                0.91335,                0.92058,                 0.7006,                 2.0568,                  1.344,                 2.1924,               0.004258,               0.004258,               0.004258
                     89,                0.91174,                0.44599,                  1.642,                0.90411,                0.90669,                0.90984,                0.69495,                 2.0476,                 1.3946,                 2.1762,               0.004192,               0.004192,               0.004192
                     90,                0.89983,                0.44417,                 1.6423,                0.90349,                0.90989,                0.91437,                0.69618,                 2.0516,                 1.3973,                 2.1803,               0.004126,               0.004126,               0.004126
                     91,                0.89826,                 0.4381,                 1.6383,                0.89859,                0.91065,                0.91106,                0.69395,                 2.0533,                 1.4114,                 2.1891,                0.00406,                0.00406,                0.00406
                     92,                0.88609,                0.43568,                 1.6356,                0.90796,                0.91046,                0.91123,                0.69762,                 2.0426,                  1.364,                 2.1841,               0.003994,               0.003994,               0.003994
                     93,                0.87651,                0.42885,                 1.6369,                 0.8994,                0.91446,                0.91227,                0.69617,                 2.0448,                 1.3468,                 2.1852,               0.003928,               0.003928,               0.003928
                     94,                0.87109,                0.42403,                 1.6364,                0.90271,                0.91298,                0.90851,                 0.6957,                 2.0394,                 1.3986,                  2.181,               0.003862,               0.003862,               0.003862
                     95,                0.87001,                0.42239,                  1.635,                0.90499,                0.90516,                 0.9114,                0.69687,                 2.0489,                 1.3988,                 2.1864,               0.003796,               0.003796,               0.003796
                     96,                  0.855,                0.41447,                 1.6325,                0.90413,                0.91072,                0.91362,                0.69683,                 2.0486,                 1.4009,                 2.1898,                0.00373,                0.00373,                0.00373
                     97,                0.84926,                0.41348,                 1.6268,                0.90419,                0.90792,                0.90974,                0.69584,                 2.0475,                 1.4404,                 2.1965,               0.003664,               0.003664,               0.003664
                     98,                0.84478,                0.41796,                 1.6285,                0.90599,                 0.9058,                0.90687,                0.69263,                 2.0617,                 1.4387,                 2.2112,               0.003598,               0.003598,               0.003598
                     99,                0.85347,                0.41938,                 1.6325,                0.90041,                0.90939,                0.90541,                0.69328,                 2.0552,                 1.4273,                 2.2001,               0.003532,               0.003532,               0.003532
                    100,                0.83251,                0.40984,                 1.6271,                 0.9061,                0.90786,                0.91127,                0.69641,                 2.0487,                 1.3759,                 2.1976,               0.003466,               0.003466,               0.003466
                    101,                0.82435,                 0.4105,                 1.6274,                0.89898,                0.90979,                0.90977,                0.69319,                 2.0489,                 1.3977,                 2.1984,                 0.0034,                 0.0034,                 0.0034
                    102,                0.83193,                0.41025,                 1.6272,                0.90169,                0.91107,                0.90989,                0.69597,                 2.0388,                 1.4206,                 2.1912,               0.003334,               0.003334,               0.003334
                    103,                0.84138,                0.41608,                 1.6307,                0.90856,                0.90886,                  0.911,                0.69702,                 2.0351,                  1.405,                 2.1915,               0.003268,               0.003268,               0.003268
                    104,                0.82565,                0.40738,                  1.626,                0.90297,                0.91381,                0.91457,                0.70088,                 2.0427,                 1.3867,                 2.1971,               0.003202,               0.003202,               0.003202
                    105,                0.81673,                0.40649,                 1.6269,                0.90119,                0.91368,                 0.9103,                0.69632,                 2.0367,                  1.396,                 2.1937,               0.003136,               0.003136,               0.003136
                    106,                0.81175,                0.40416,                 1.6236,                0.90379,                0.91417,                0.91639,                 0.6994,                 2.0434,                 1.3728,                  2.206,                0.00307,                0.00307,                0.00307
                    107,                0.80192,                 0.4002,                 1.6234,                0.90661,                0.91409,                0.91763,                0.70172,                 2.0366,                 1.3478,                 2.1965,               0.003004,               0.003004,               0.003004
                    108,                0.80142,                0.39734,                 1.6194,                0.90503,                0.91562,                0.91724,                 0.7015,                 2.0364,                 1.3742,                 2.2019,               0.002938,               0.002938,               0.002938
                    109,                 0.7904,                0.38913,                 1.6211,                0.90442,                0.91522,                0.91663,                0.70138,                 2.0431,                 1.4113,                 2.2082,               0.002872,               0.002872,               0.002872
                    110,                0.79489,                0.39251,                 1.6223,                 0.9094,                0.91116,                0.91329,                0.70079,                 2.0473,                  1.426,                 2.2118,               0.002806,               0.002806,               0.002806
                    111,                0.79904,                0.39562,                 1.6232,                0.91038,                0.90941,                0.91476,                0.70176,                 2.0344,                 1.4011,                 2.2018,                0.00274,                0.00274,                0.00274
                    112,                0.78237,                0.39032,                 1.6182,                0.90952,                0.91168,                0.91348,                0.70023,                  2.047,                 1.3829,                 2.2127,               0.002674,               0.002674,               0.002674
                    113,                0.77657,                0.38312,                 1.6166,                0.90849,                0.91333,                0.91263,                0.69969,                 2.0401,                 1.4036,                 2.2052,               0.002608,               0.002608,               0.002608
                    114,                0.77183,                0.38426,                  1.618,                0.91235,                0.91417,                0.91269,                0.70045,                 2.0369,                 1.3968,                 2.2014,               0.002542,               0.002542,               0.002542
                    115,                0.77871,                0.38351,                 1.6166,                0.91063,                0.91544,                0.91285,                0.69973,                 2.0508,                 1.4112,                 2.2156,               0.002476,               0.002476,               0.002476
                    116,                0.75944,                0.37754,                 1.6101,                0.90436,                0.91833,                0.91171,                0.69856,                 2.0501,                 1.4257,                 2.2181,                0.00241,                0.00241,                0.00241
                    117,                0.75479,                0.37471,                 1.6145,                0.90734,                0.91093,                0.90937,                0.69744,                 2.0513,                 1.4481,                  2.225,               0.002344,               0.002344,               0.002344
